小区名称,地址,均价(元/平),在售套数,建成年代,开发商,物业公司,物业费,容积率,绿化率,车位比,总户数,建筑类型,经度,纬度,POI数
邰城家园(南区),神农路,2700.0,0,2000,单位自建,业主自管,0.9,1.2,30.0,800(1:0.4),2064,"[""多层""]",108.108748,34.256804,13
温馨家园(杨凌),五胡路,2650.0,2,1993,单位自建,业主自管,1.0,1.2,20.0,450(1:0.2),2144,"[""多层""]",108.07889,34.257723,24
稷园小区,高干渠路,2650.0,1,2000,单位自建,业主自管,0.8,2.5,30.0,120(1:0.5),252,"[""高层""]",108.080721,34.278368,26
稷园东区,高干渠路5号,2600.0,0,2002,单位自建,业主自管,0.5,1.2,30.0,56(1:0.6),96,"[""多层""]",108.082582,34.277713,26
森林公安局第二分局家属院,有邰路7号,2600.0,1,,暂无,暂无,,,,,,"[""多层""]",108.072931,34.253054,21
金枫阁,高干渠路,2600.0,0,2011,单位自建,业主自管,0.9,2.0,30.0,,36,"[""多层"", ""高层""]",108.08255338,34.27806614,26
圣龙小区,农科路,2500.0,1,2001,单位自建,业主自管,0.8,2.5,30.0,56(1:0.1),508,"[""高层""]",108.060909,34.270668,23
海得信住宅区,后稷路47号,2500.0,0,1994,单位自建,业主自管,0.5,1.2,20.0,,156,"[""多层""]",108.079335,34.270895,25
金鑫小区,康乐路,2450.0,0,1999,单位自建,业主自管,0.5,1.2,20.0,26(1:0.1),176,"[""多层""]",108.082505,34.272377,25
乡园小区,长青路,2400.0,4,2000,单位自建,业主自管,0.7,1.2,30.0,85(1:0.1),708,"[""多层""]",108.088012,34.274661,26
台西社区五星家园,博学路,2300.0,0,2015,单位自建,业主自管,0.7,1.2,30.0,350(1:0.2),1459,"[""多层""]",108.061047,34.263856,22
后稷小区,"高干渠路,近后稷路",2300.0,1,2007,单位自建,业主自管,0.5,1.2,30.0,,360,"[""多层""]",108.083483,34.276752,26
银鑫住宅小区,常乐路,2200.0,1,2012,单位自建,业主自管,0.9,2.5,30.0,,96,"[""高层""]",108.083531,34.270996,25
凤凰山庄(一期),凤凰路1号,2150.0,0,2015,单位自建,业主自管,0.6,2.0,30.0,200(1:0.5),402,"[""多层"", ""小高层"", ""高层""]",108.08983,34.282939,24
家乐园,高干渠路3号,2100.0,1,1990,单位自建,业主自管,0.8,2.5,20.0,885(1:0.8),1140,"[""高层""]",108.084014,34.276532,26
五泉小区,清心路,1650.0,0,,暂无,暂无,,,,,,"[""多层""]",108.001622,34.302001,8
农科博学嘉苑三期,示范区博学路与渭惠路交汇处,,0,2021,杨凌示范区农科房地产开发有限公司,杨凌示范区农科物业管理有限公司,0.95,3.44,36.0,,,,108.06711,34.265779,25
